county,city,total_fatal_crashes,total_injury_crashes,alcohol_involved_fatal,alcohol_involved_injury,pedestriannvolved_fatal,pedestrian_involved_injury,bicyclist_involved_fatal,bicyclist_involved_injury,motorcycle_involved_fatal,motorcycle_involved_injury
,Corte Madera,3,60,1,7,0,4,2,7,0,1
,Fairfax,0,13,0,1,0,3,0,5,0,1
,Larkspur,0,44,0,7,0,5,0,8,0,2
,Mill Valley,0,18,0,1,0,4,0,2,0,3
,Novato,4,180,2,21,2,14,0,8,0,19
,Ross,0,2,0,0,0,0,0,1,0,0
,San Anselmo,1,29,1,2,1,2,0,11,0,0
,San Rafael,3,302,2,29,0,47,0,24,0,15
,Sausalito,1,30,0,3,1,3,0,11,0,3
,Tiburon,0,7,0,1,0,0,0,1,0,0
,Unincorporated,8,333,1,37,1,11,0,34,1,54
,,6,137,1,19,1,8,0,24,0,15
,,2,196,0,18,0,3,0,10,1,39
Mariposa,,4,70,2,8,0,4,0,0,0,13
,Unincorporated,4,70,2,8,0,4,0,0,0,13
,,1,26,1,5,0,4,0,0,0,4
,,3,44,1,3,0,0,0,0,0,9
Mendocino,,21,375,9,73,3,22,1,4,4,43
,Fort Bragg,1,27,0,3,1,4,0,1,0,3
,Ukiah,0,44,0,5,0,6,0,1,0,4
,Willits,0,8,0,1,0,2,0,1,0,1
,Unincorporated,20,296,9,64,2,10,1,1,4,35
,,5,98,4,27,0,6,1,1,1,14
,,0,0,0,0,0,0,0,0,0,0
,,15,198,5,37,2,4,0,0,3,21
Merced,,47,"1,448",13,183,9,85,1,62,10,60
,Atwater,0,68,0,9,0,5,0,1,0,5
,Dos Palos,0,1,0,1,0,0,0,0,0,0
,Gustine,0,0,0,0,0,0,0,0,0,0
,Livingston,0,24,0,4,0,2,0,0,0,1
,Los Banos,3,163,2,16,1,12,0,13,0,6
,Merced,4,456,1,49,1,54,1,43,0,10
,Unincorporated,40,736,10,104,7,12,0,5,10,38
,,14,340,2,54,2,10,0,4,6,23
,,26,396,8,50,5,2,0,1,4,15
Modoc,,6,51,0,4,0,1,0,2,0,3
,Alturas,0,0,0,0,0,0,0,0,0,0
,Unincorporated,6,51,0,4,0,1,0,2,0,3
,,3,19,0,3,0,1,0,2,0,2
,,3,32,0,1,0,0,0,0,0,1
Mono,,5,58,2,7,1,0,1,1,0,11
,Mammoth Lakes,0,2,0,0,0,0,0,0,0,0
,Unincorporated,5,56,2,7,1,0,1,1,0,11
,,0,7,0,2,0,0,0,1,0,3
,,5,49,2,5,1,0,1,0,0,8
Monterey,,32,"1,925",14,287,9,102,1,74,1,82
,Carmel,0,19,0,0,0,8,0,1,0,0
,Del Rey Oaks,1,0,1,0,0,0,0,0,1,0
,Gonzales,0,9,0,3,0,2,0,0,0,0
,Greenfield,0,14,0,2,0,4,0,3,0,0
,King City,1,9,1,2,1,1,0,0,0,1
,Marina,0,50,0,12,0,7,0,4,0,2
,Monterey,1,186,0,12,1,20,0,13,0,15
,Pacific Grove,0,22,0,1,0,3,0,2,0,1
,Salinas,2,539,2,78,1,39,0,37,0,8
,Sand City,0,1,0,0,0,0,0,0,0,0
,Seaside,0,58,0,5,0,6,0,5,0,4
,Soledad,0,11,0,2,0,4,0,0,0,1
,Unincorporated,27,"1,007",10,170,6,8,1,9,0,50
,,12,422,6,93,2,5,0,5,0,21
,,15,585,4,77,4,3,1,4,0,29
Napa,,17,742,5,100,4,30,0,41,4,63
,American Canyon,0,50,0,5,0,3,0,1,0,3
,Calistoga,1,15,1,2,1,3,0,1,0,1
,Napa,2,302,1,40,1,21,0,29,0,19
,Saint Helena,0,22,0,5,0,0,0,1,0,1
,Yountville,1,3,0,1,0,1,0,0,1,1
,Unincorporated,13,350,3,47,2,2,0,9,3,38
,,7,113,1,26,0,1,0,5,2,10
,,6,237,2,21,2,1,0,4,1,28
Nevada,,10,396,2,71,1,18,0,8,3,41
,Grass Valley,0,33,0,8,0,5,0,1,0,4
,Nevada City,0,14,0,2,0,0,0,0,0,1
,Truckee,0,64,0,7,0,4,0,6,0,6
,Unincorporated,10,285,2,54,1,9,0,1,3,30
,,4,135,2,31,0,8,0,1,2,19
,,6,150,0,23,1,1,0,0,1,11
Orange,,164,"12,230",61,"1,138",53,647,15,703,30,793
,Aliso Viejo,2,48,0,2,0,2,1,2,0,2
,Anaheim,22,"2,323",11,199,5,111,3,95,3,145
,Brea,2,241,0,15,0,6,0,7,1,19
,Buena Park,3,387,2,41,1,18,1,27,1,22
,Costa Mesa,7,654,2,78,2,34,0,35,2,48
,Cypress,1,171,1,12,0,11,0,9,0,3
,Dana Point,2,76,0,17,1,5,0,4,0,5
,Fountain Valley,5,406,1,20,0,9,1,14,0,21
,Fullerton,8,732,3,84,3,53,0,25,2,37
,Garden Grove,8,731,4,63,2,40,1,60,0,52
,Huntington Beach,15,755,7,104,5,51,2,97,2,63
,Irvine,7,878,4,63,1,30,0,51,3,54
,La Habra,3,224,2,19,2,13,0,16,0,9
,La Palma,0,65,0,2,0,3,0,3,0,4
,Laguna Beach,2,97,1,12,1,13,0,7,0,13
,Laguna Hills,2,168,0,16,0,3,0,6,0,11
,Laguna Niguel,1,125,0,14,1,10,0,5,0,9
,Laguna Woods,1,28,1,2,0,2,0,0,1,0
,Lake Forest,4,188,1,18,0,8,0,10,1,13
,Los Alamitos,1,68,0,6,1,3,0,1,0,1
,Mission Viejo,2,340,2,26,0,10,0,8,1,14
,Newport Beach,6,401,1,59,2,35,0,74,1,22
,Orange,4,745,0,74,1,41,0,47,1,55
,Placentia,0,25,0,1,0,0,0,0,0,3
,Rcho Snta Margarita,0,49,0,4,0,6,0,2,0,2
,San Clemente,2,151,0,20,1,14,0,12,0,12
,San Juan Capistrano,1,122,0,13,1,10,0,4,0,11
,Santa Ana,17,386,8,21,8,3,2,2,2,28
,Seal Beach,5,155,0,16,1,4,2,3,2,14
,Stanton,6,79,3,7,6,14,0,8,0,4
,Tustin,5,460,2,30,2,24,0,21,1,22
,Villa Park,0,7,0,0,0,1,0,1,0,1
,Westminster,8,533,2,41,3,39,1,26,3,26
,Yorba Linda,0,59,0,3,0,3,0,2,0,7
,Unincorporated,12,353,3,36,3,18,1,19,3,41
,,9,240,3,26,3,18,1,19,2,19
,,3,113,0,10,0,0,0,0,1,22
Placer,,24,"1,565",7,180,2,46,0,66,3,107
,Auburn,0,43,0,9,0,2,0,0,0,5
,Colfax,0,4,0,0,0,0,0,0,0,0
,Lincoln,0,64,0,8,0,4,0,5,0,4
,Loomis,1,14,0,1,0,0,0,0,0,0
,Rocklin,1,142,0,17,0,3,0,11,0,5
,Roseville,3,689,0,59,1,17,0,33,0,41
,Unincorporated,19,609,7,86,1,20,0,17,3,52
,,8,303,3,47,0,15,0,10,3,34
,,11,306,4,39,1,5,0,7,0,18
Plumas,,3,114,1,30,0,4,0,6,0,13
,Portola,0,1,0,0,0,0,0,1,0,0
,Unincorporated,3,113,1,30,0,4,0,5,0,13
,,1,34,1,10,0,1,0,4,0,8
,,2,79,0,20,0,3,0,1,0,5
Riverside,,269,"10,109",101,"1,077",70,414,6,322,38,721
,Banning,7,77,3,15,2,1,0,0,1,8
,Beaumont,2,146,1,17,2,5,0,4,0,9
,Blythe,4,12,2,1,1,1,0,0,0,1
,Calimesa,1,24,0,2,0,1,0,0,0,0
